city,rank,cate,poll
敦煌,3,敦煌酿皮子,130
敦煌,4,敦煌臊子面,92
敦煌,5,羊肉粉汤,54
敦煌,6,敦煌浆水面,38
垦丁,1,鱼生,169
垦丁,2,猪脚,40
垦丁,3,乌鱼子,11
垦丁,4,绿豆馔,7
峨眉山,1,豆花,110
峨眉山,2,素斋,87
峨眉山,3,抄手,85
峨眉山,4,烧烤,64
峨眉山,5,豆腐脑,54
峨眉山,6,钵钵鸡,24
峨眉山,7,卤鸭,23
峨眉山,8,咔饼,14
峨眉山,9,汤锅,14
峨眉山,10,叶儿粑,9
