question,answer,review number,name,gender,location,overseas_place,overseas_time,domestic_place,domestic_time,overseas_number,domestic_number,,,
0,7,14,原老未(北京),MGenderFemale,北京,"The United Mexican States', 'Cuba', 'Belize', 'Sultanate of Oman', 'United Kingdom', 'Australia', 'Republic of Vanuatu', 'Maldives', 'Sri Lanka', 'Georgia', 'Indonesia'","['2018.07', '2018.07', '2018.07', '2018.07', '2015.11', '2015.09', '2015.10', '2015.06', '2015.06', '2013.04', '2015.05']",博尔塔拉,['2015.04'],11,1,,,
4,56,230,蝈蝈小姐(北京),MGenderFemale,北京,"Thailand', 'Maldives', 'Korea', 'Italy', 'France', 'The Principality of Monaco', 'Vatican City State', 'Austria'","['2016.11', '2015.12', '2015.07', '2013.09', '2013.10', '2013.10', '2013.09', '2013.03']","西安, 香港, 成都, 丽江, 泸沽湖, 大理, 青岛, 三亚, 乐山, 深圳, 哈尔滨, 双廊, 杭州, 阳朔, 北京, 西昌","['2012.04', '2015.11', '2013.03', '2015.01', '2015.01', '2015.01', '2014.08', '2013.07', '2014.02', '2015.11', '2016.03', '2015.01', '2017.09', '2018.09', '2012.11', '2015.01']",8,16,,,
0,106,80,lynn(北京),MGenderFemale,北京,"Japan', 'The United Mexican States', 'Peninsula of Yucatan', 'United States of America', 'Philippines'","['2015.11', '2015.06', '2015.07', '2015.06', '2013.05']","北京, 拉萨, 林芝, 青岛, 丽江, 日喀则, 西安, 苏州, 纳木错","['2014.08', '2014.08', '2014.08', '2014.07', '2013.11', '2014.08', '2013.11', '2014.07', '2014.08']",5,9,,,
3,105,180,若谷(北京),MGenderMale,北京,"Indonesia', 'Malaysia', 'Vietnam'","['2015.08', '2014.01', '2013.10']","北京, 漠河, 广州, 威海, 东山岛, 北戴河, 阿里, 香港, 丽江, 九份, 鼓浪屿, 三亚","['2013.08', '2015.08', '2013.08', '2015.07', '2013.05', '2013.08', '2015.09', '2015.07', '2015.09', '2015.09', '2015.09', '2015.09']",3,12,,,
1,31,320,西小小贝(北京),MGenderFemale,北京,"Austria', 'Hungary', 'United States of America', 'Japan', 'Turkey', 'Korea', 'Thailand', 'Cambodia'","['2017.06', '2016.11', '2016.06', '2013.11', '2015.07', '2013.11', '2013.05', '2014.04']","北京, 台北, 九份, 青岛, 垦丁, 天津, 长沙, 张家口, 台中, 上海, 宜宾, 新北, 厦门, 南投","['2014.05', '2014.11', '2014.11', '2014.05', '2014.11', '2015.04', '2015.04', '2015.08', '2014.11', '2015.08', '2015.10', '2015.04', '2016.01', '2015.01']",8,14,,,
0,0,5,螳螂大海风(北京),MGenderFemale,北京,Japan',['2017.08'],,[],1,0,,,
0,0,0,乐乐乐(北京),,北京,,[],,[],0,0,,,
15,266,35,Emily灬不让玩(北京),MGenderFemale,北京,"Japan', 'Singapore', 'Maldives'","['2016.09', '2016.08', '2016.08']",,[],3,0,,,
0,11,45,红红兔子(北京),MGenderFemale,北京,,[],"成都, 北京, 南京, 武汉, 杭州, 西宁, 上海, 青海湖, 台北, 蔚县, 大同, 嘉峪关, 秦皇岛, 黄山, 婺源, 绍兴, 昆明, 大理, 天津, 厦门","['2013.12', '2012.03', '2013.10', '2013.12', '2009.10', '2014.09', '2002.10', '2014.09', '2010.08', '2013.12', '2011.03', '2014.09', '2013.12', '2011.03', '2011.12', '2009.10', '2012.02', '2013.10', '2014.04', '2013.12']",0,20,,,
3,233,292,duckuia(北京),MGenderFemale,北京,"Nepal', 'Canada', 'United States of America', 'Morocco', 'Germany', 'France', 'Spain', 'The Principality of Monaco'","['2018.11', '2018.07', '2018.03', '2017.05', '2017.05', '2016.07', '2016.08', '2016.07']","北京, 重庆, 青岛, 满洲里, 西安, 南京","['2008.10', '2013.09', '2007.12', '2015.07', '2005.05', '2014.04']",8,6,,,
0,6,107,馆长王菲呀(北京),MGenderFemale,北京,"Italy', 'France', 'Thailand', 'Indonesia', 'Singapore', 'Russia', 'Korea', 'Turkey', 'United States of America'","['2018.11', '2018.11', '2018.11', '2018.09', '2018.09', '2018.07', '2018.06', '2018.04', '2018.04']",,[],9,0,,,
0,0,1,瞬间烟火(北京),MGenderFemale,北京,,[],乌镇,['2014.05'],0,1,,,
0,0,0,爱做梦的藜小靡(北京),MGenderFemale,北京,,[],,[],0,0,,,
0,355,64,Adrian.Z(北京),MGenderMale,北京,,[],"垦丁, 台北, 高雄, 威海, 屏东, 青岛, 南京, 丽水, 蓬莱, 宜兴, 武夷山, 曲阜, 南昌, 徐州","['2013.10', '2013.10', '2017.12', '2018.07', '2013.10', '2018.07', '2018.03', '2017.12', '2018.07', '2017.12', '2017.12', '2018.03', '2018.03', '2017.12']",0,14,,,
0,21,29,queena(广州),MGenderFemale,北京,,[],"北京, 重庆, 西安, 南京, 杭州, 宏村, 太原, 长岛, 咸阳, 无锡, 敦煌, 黟县, 长春, 廊坊, 祁连, 蓬莱, 深圳, 临汾, 昆山","['2014.03', '2014.03', '2014.03', '2014.10', '2015.04', '2016.11', '2014.04', '2016.09', '2014.05', '2017.12', '2017.09', '2017.01', '2014.03', '2016.07', '2017.09', '2016.11', '2016.04', '2015.04', '2015.04']",0,19,,,
2,498,183,诺奈葵(北京),MGenderFemale,北京,"Czech', 'Austria', 'Belgium'","['2018.01', '2018.01', '2018.01']","北京, 成都, 西安, 婺源, 鼓浪屿, 华山, 敦煌, 兰州, 乌镇, 额济纳旗, 青海湖, 哈尔滨, 大理, 重庆, 同里, 三亚","['2010.08', '2014.02', '2012.08', '2012.05', '2011.10', '2012.07', '2013.10', '2013.10', '2010.08', '2013.10', '2013.10', '2012.12', '2013.10', '2014.05', '2015.08', '2018.01']",3,16,,,
1,10,103,韩大黑(北京),MGenderMale,北京,Indonesia',['2013.01'],"无锡灵山, 长白山, 无锡, 承德, 西宁, 邯郸, 北京, 青岛","['2013.02', '2012.09', '2013.02', '2013.09', '2014.12', '2013.09', '2012.09', '2012.09']",1,8,,,
0,48,174,紫檀葫芦(北京),MGenderMale,北京,Germany',['2013.11'],"大理, 成都, 昆明, 丽江, 重庆, 天津, 北京, 西安, 厦门, 束河","['2012.10', '2013.11', '2013.04', '2012.10', '2013.11', '2012.09', '2012.08', '2012.02', '2012.08', '2013.11']",1,10,,,
28,14,20,superhard(北京),MGenderFemale,北京,"Indonesia', 'Singapore'","['2015.07', '2015.03']","攀枝花, 大理, 哈尔滨, 成都, 长春, 丽江, 泸沽湖, 束河, 双廊, 重庆, 北京, 台北, 咸阳, 屏东, 昆明, 楚雄, 吉林市","['2014.04', '2015.03', '2014.04', '2014.04', '2014.04', '2014.04', '2014.11', '2015.03', '2015.03', '2014.04', '2014.04', '2017.07', '2016.12', '2017.07', '2015.03', '2015.03', '2015.04']",2,17,,,
0,16,63,潘太太v(北京),MGenderFemale,北京,"United States of America', 'Korea', 'Japan', 'Austria'","['2016.06', '2016.04', '2015.10', '2015.08']","长沙, 北京, 香港, 上海, 西安, 鼓浪屿, 厦门, 哈尔滨","['2013.08', '2013.10', '2014.04', '2013.04', '2013.09', '2014.06', '2014.06', '2014.06']",4,8,,,
2,32,191,紫色(北京),MGenderFemale,北京,,[],"香港, 丽江, 武汉, 鼓浪屿, 成都, 大连, 青岛, 天津, 厦门, 昆明, 上海, 束河, 杭州, 峨眉山, 苏州, 沈阳, 珠海, 泸沽湖, 高雄, 乐山","['2012.10', '2013.05', '2013.11', '2014.05', '2014.05', '2013.11', '2013.11', '2014.05', '2014.05', '2014.02', '2014.05', '2015.04', '2013.11', '2013.11', '2013.11', '2013.11', '2013.11', '2015.04', '2017.06', '2013.11']",0,20,,,
